Effective_Signal,Noise,Raw_Signal,Exposure_Time,Subframe_Index,Saturated
2.4974976,13.365483170753546,275.4495,0.001248,7,False
2.5267944,13.378761113908418,275.90262,0.001248,8,False
2.49646,13.49641488446355,275.81403,0.00128,0,False
2.5812378,13.316122130476739,275.7433,0.00128,1,False
2.6169739,13.408918026954932,275.8744,0.00128,2,False
2.5126343,13.318290838713716,275.6812,0.00128,3,False
2.5865479,13.516546916710656,275.61572,0.00128,4,False
2.5301208,13.505171988059749,275.82532,0.00128,5,False
2.5603638,13.356276950339614,275.6885,0.00128,6,False
2.5376282,13.392342514372569,275.48962,0.00128,7,False
2.5407715,13.317166023620658,275.9166,0.00128,8,False
2.6336975,13.371770806201795,275.95126,0.001312,0,False
2.6214294,13.320953170840452,275.78348,0.001312,1,False
2.6059265,13.521719177959914,275.86334,0.001312,2,False
2.6549683,13.399551311341872,275.82355,0.001312,3,False
2.6114197,13.522131879900533,275.6406,0.001312,4,False
2.688202,13.40408698659122,275.9834,0.001312,5,False
2.6629028,13.33078383896192,275.79105,0.001312,6,False
2.6542053,13.493025603493697,275.6062,0.001312,7,False
2.6331482,13.341387311697686,276.00897,0.001312,8,False
2.7922363,13.520839826112582,276.1098,0.001344,0,False
2.715973,13.523765154574026,275.87802,0.001344,1,False
2.7740173,13.358823294339249,276.03143,0.001344,2,False
2.8258972,13.432320654646485,275.99448,0.001344,3,False
2.7434082,13.353636197399316,275.77258,0.001344,4,False
2.7216797,13.50611472876724,276.01688,0.001344,5,False
2.7253723,13.322486641776672,275.85352,0.001344,6,False
2.7471313,13.377845347183973,275.69913,0.001344,7,False
2.759491,13.411448186564739,276.1353,0.001344,8,False
2.8323364,13.533745528301406,276.1499,0.001376,0,False
2.8344116,13.36301100520729,275.99646,0.001376,1,False
2.8596497,13.42853350742669,276.11707,0.001376,2,False
2.7423096,13.538379658588877,275.9109,0.001376,3,False
2.7522583,13.362151883847245,275.78143,0.001376,4,False
2.7316284,13.538791011830343,276.02682,0.001376,5,False
2.7452087,13.341185006824833,275.87335,0.001376,6,False
2.7554626,13.380414619069198,275.70746,0.001376,7,False
2.7765503,13.405741840451151,276.15237,0.001376,8,False
2.8155518,13.54595665042677,276.13312,0.001408,0,False
2.8900757,13.349453881327882,276.05212,0.001408,1,False
2.9094238,13.431936275388066,276.16684,0.001408,2,False
2.8353271,13.373132992345667,276.0039,0.001408,3,False
2.894806,13.528896954848713,275.92398,0.001408,4,False
2.7853088,13.54986113447282,276.0805,0.001408,5,False
2.8036804,13.356034184492191,275.93182,0.001408,6,False
2.8069458,13.397745403176877,275.75894,0.001408,7,False
2.8479614,13.428942163269852,276.2238,0.001408,8,False
2.9737854,13.36845974978278,276.29135,0.00144,0,False
2.986084,13.442433200890797,276.14813,0.00144,1,False
2.8160706,13.548546152799279,276.0735,0.00144,2,False
2.8299866,13.376852704607845,275.99857,0.00144,3,False
2.9660645,13.552091882870805,275.99524,0.00144,4,False
2.8940125,13.573977224015966,276.1892,0.00144,5,False
2.9057922,13.385683986657423,276.03394,0.00144,6,False
2.9109192,13.417704801932484,275.8629,0.00144,7,False
2.8526611,13.441007625886764,276.2285,0.00144,8,False
3.0151978,13.579363928430446,276.33276,0.001472,0,False
3.0039978,13.387464269538524,276.16605,0.001472,1,False
3.0294495,13.462211873959989,276.28687,0.001472,2,False
3.0930176,13.579003825756768,276.2616,0.001472,3,False
3.125824,13.406444512709525,276.155,0.001472,4,False
2.9768372,13.593792311962272,276.27203,0.001472,5,False
2.9902039,13.400504841642583,276.11835,0.001472,6,False
3.0048218,13.44892988470766,275.95682,0.001472,7,False
3.1426392,13.455279560316916,276.51846,0.001472,8,False
3.0025635,13.586041337933723,276.32013,0.001504,0,False
3.0543823,13.40469524990893,276.21643,0.001504,1,False
3.072815,13.478092806478893,276.33023,0.001504,2,False
3.0180054,13.411595194772344,276.18658,0.001504,3,False
3.0470886,13.59070783700085,276.07626,0.001504,4,False
3.063324,13.59701974903384,276.35852,0.001504,5,False
3.0732727,13.437256893544083,276.20142,0.001504,6,False
3.0454712,13.474286777470965,275.99747,0.001504,7,False
3.0610657,13.398337482104758,276.4369,0.001504,8,False
3.064331,13.441785825297668,276.3819,0.001536,0,False
3.057495,13.401316758532296,276.21954,0.001536,1,False
3.0400696,13.604406574291254,276.2975,0.001536,2,False
3.1574707,13.47064933585708,276.32605,0.001536,3,False
3.1066895,13.579187248841487,276.13586,0.001536,4,False
3.1238098,13.477591090394219,276.419,0.001536,5,False
3.1063538,13.407915943484738,276.2345,0.001536,6,False
3.1016235,13.589893222712831,276.05362,0.001536,7,False
3.1323547,13.413178567577202,276.50818,0.001536,8,False
3.2295227,13.599335465478424,276.5471,0.001568,0,False
3.144928,13.617839617848647,276.30698,0.001568,1,False
3.2140503,13.41769131494096,276.47147,0.001568,2,False
3.2420654,13.497395388747307,276.41064,0.001568,3,False
3.1505737,13.431790615879613,276.17975,0.001568,4,False
3.17865,13.626591326648237,276.47385,0.001568,5,False
3.1806946,13.41941360375851,276.30884,0.001568,6,False
3.1897583,13.463316458565762,276.14175,0.001568,7,False
3.185089,13.503910954352303,276.5609,0.001568,8,False
3.270111,13.615730252374373,276.58768,0.0016,0,False
3.2485657,13.433833895095422,276.4106,0.0016,1,False
3.2722473,13.514158370511847,276.52966,0.0016,2,False
3.1791077,13.614115859489011,276.3477,0.0016,3,False
3.2178345,13.443582292568596,276.247,0.0016,4,False
3.1755066,13.633012483312568,276.4707,0.0016,5,False
3.1860046,13.424920342397549,276.31415,0.0016,6,False
3.2043457,13.464224133095293,276.15634,0.0016,7,False
3.2368774,13.489075263676467,276.6127,0.0016,8,False
3.329895,13.64214992006973,276.64746,0.001632,0,False
3.4076233,13.459310822083287,276.56967,0.001632,1,False
3.44516,13.534584419174166,276.70258,0.001632,2,False
3.357666,13.47110789356888,276.52625,0.001632,3,False
3.4078674,13.642833710539971,276.43704,0.001632,4,False
3.3638916,13.625922371868672,276.6591,0.001632,5,False
3.3770752,13.478965414830462,276.50522,0.001632,6,False
3.3807678,13.529057450047842,276.33276,0.001632,7,False
3.3641968,13.42774586712172,276.74002,0.001632,8,False
3.4230957,13.505095112208064,276.74066,0.001664,0,False
3.4060059,13.462751353620927,276.56805,0.001664,1,False
3.3822632,13.675678580997117,276.63968,0.001664,2,False
3.4642334,13.546103658634376,276.6328,0.001664,3,False
3.4266968,13.481776103863957,276.45587,0.001664,4,False
3.4076843,13.67015026317164,276.70288,0.001664,5,False
3.4194946,13.519497870455995,276.54764,0.001664,6,False
3.3889465,13.442983470144954,276.34094,0.001664,7,False
3.4024048,13.62996442322826,276.77823,0.001664,8,False
3.3926697,13.66054887390607,276.71024,0.001696,0,False
3.5078735,13.633537127282832,276.66992,0.001696,1,False
3.5029297,13.43770870776012,276.76035,0.001696,2,False
3.5570679,13.534645110636022,276.72565,0.001696,3,False
3.4274902,13.485654962626112,276.45667,0.001696,4,False
3.4651794,13.558138101170783,276.76038,0.001696,5,False
3.4845886,13.668436066549004,276.61273,0.001696,6,False
3.4767761,13.461335219510962,276.42877,0.001696,7,False
3.4841614,13.503433514852372,276.86,0.001696,8,False
3.526123,13.677720511513773,276.8437,0.001728,0,False
3.5305176,13.487719821028357,276.69257,0.001728,1,False
3.5542603,13.546768567316484,276.81168,0.001728,2,False
3.552765,13.670005952362338,276.72134,0.001728,3,False
3.5653381,13.490387547951704,276.5945,0.001728,4,False
3.59729,13.55036689665495,276.8925,0.001728,5,False
3.5752563,13.690243183143329,276.7034,0.001728,6,False
3.5818481,13.488423841985883,276.53384,0.001728,7,False
3.6026,13.536718061233183,276.97842,0.001728,8,False
3.690918,13.517883477570635,277.00848,0.00176,0,False
3.729126,13.58415585651874,276.89117,0.00176,1,False
3.627594,13.672672330586531,276.885,0.00176,2,False
3.7133179,13.68915882902484,276.8819,0.00176,3,False
3.6490173,13.491742990599814,276.6782,0.00176,4,False
3.560669,13.69350568639286,276.85587,0.00176,5,False
3.5856934,13.533508157250592,276.71384,0.00176,6,False
